#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
71.384  7.67216  298.103  3.54059 
71.482  7.67248  298.338  3.53843 
71.58  7.67033  298.573  3.53818 
71.678  7.67219  298.808  3.53469 
71.776  7.67253  299.042  3.53258 
71.874  7.67193  299.275  3.53097 
71.972  7.67228  299.508  3.52886 
72.07  7.67017  299.74  3.5285 
72.168  7.67206  299.971  3.52516 
72.266  7.67243  300.202  3.52311 
72.364  7.67187  300.433  3.52148 
72.462  7.67226  300.663  3.51943 
72.56  7.67018  300.892  3.51888 
72.658  7.67211  301.12  3.51578 
72.756  7.67005  301.349  3.51522 
72.854  7.67046  301.576  3.51301 
